НМТП;B;NMTP;400;02.0
НКХП;B;NKHP;50;200
Черкизово;B;GCHE;100;1000
РусАГРО;B;RAGR;2000;100
Лента;B;LENT;284;350
Русская Аквакультура;B;AQUA;1000;100
Русолово;B;ROLO;500;0.2
Россети;B;FEES;324;0.03
МосЭнерго;B;MSNG;100;1
Сахэнер ао;B;SLEN;1000;1
ТГК-1;B;TGKA;200;0.005
МРСК ЦП;B;MRKP;100;0.1
Ростелеком пр;B;RTKMP;332;30
Камаз;B;KMAZ;200;50
Система ао;B;AFKS;142;7
Яндекс;B;YDEX;100;1000
Ренессанс;B;RENI;400;25
iПозитив;B;POSI;332;300
OZON-адр;B;OZON;200;500
ДВМП ао;B;FESH;200;5
VK;B;VKCO;1000;200
ЕвроТранс;B;EUTR;2856;70
Юнипро;B;UPRO;100;1.0
ПИК;B;PIKK;600;330
Ростелеком ап;B;RTKMP;444;45
СтавЭнСнаб;B;STSB;40;02.0
ДОМ.РФ;B;DOMRF;100;1000
